Subject,Condition,Time_point,Value
3,1,424,1.55217817425728
3,1,425,1.55048304796219
3,1,426,1.56918889284134
3,1,427,1.60398434102535
3,1,428,1.6489567309618
3,1,429,1.69747585058212
3,1,430,1.74311915040016
3,1,431,1.78051424026489
3,1,432,1.80607172846794
3,1,433,1.8183631002903
3,1,434,1.81830644607544
3,1,435,1.80894288420677
3,1,436,1.79503625631332
3,1,437,1.78237506747246
3,1,438,1.77697619795799
3,1,439,1.78427812457085
3,1,440,1.80844938755035
3,1,441,1.85179156064987
3,1,442,1.91446152329445
3,1,443,1.99445983767509
3,1,444,2.08785855770111
3,1,445,2.18927907943726
3,1,446,2.29254791140556
3,1,447,2.39144203066826
3,1,448,2.48041069507599
3,1,449,2.55518051981926
3,1,450,2.61320340633392
3,1,451,2.65384364128113
3,2,401,0.722984044346958
3,2,402,0.680258262902498
3,2,403,0.653409920632839
3,2,404,0.643972720950842
3,2,405,0.65182101726532
3,2,406,0.675230275839567
3,2,407,0.711054948158562
3,2,408,0.755145037546754
3,2,409,0.802844058722258
3,2,410,0.849578659981489
3,2,411,0.891415551304817
3,2,412,0.925585255026817
3,2,413,0.950837604701519
3,2,414,0.967659533023834
3,2,415,0.978226102888584
3,2,416,0.986153163015842
3,2,417,0.996068224310875
3,2,418,1.01303611695766
3,2,419,1.0419047549367
3,2,420,1.0866327136755
3,2,421,1.14970977604389
3,2,422,1.23175628483295
3,2,423,1.33129343390465
3,2,424,1.44478905200958
3,2,425,1.56695154309273
3,2,426,1.69117787480354
3,2,427,1.81021684408188
3,2,428,1.91695293784142
3,2,429,2.00514683127403
3,2,430,2.07007217407227
3,2,431,2.10909244418144
3,2,432,2.12186494469643
3,2,433,2.1104422211647
3,2,434,2.07901257276535
3,2,435,2.03341999650002
3,2,436,1.98054778575897
3,2,437,1.92753165960312
3,2,438,1.88107547163963
3,2,439,1.8466677069664
3,2,440,1.82811638712883
3,2,441,1.82725161314011
3,2,442,1.84384202957153
3,2,443,1.87580758333206
3,2,444,1.91965517401695
3,2,445,1.97104933857918
3,2,446,2.02548751235008
3,2,447,2.07902431488037
3,2,448,2.12885627150536
3,2,449,2.17375010251999
3,2,450,2.21424961090088
3,2,451,2.2526308298111
3,3,401,-0.0767132639884949
3,3,402,-0.0239222273230553
3,3,403,0.0279328040778637
3,3,404,0.0794288516044617
3,3,405,0.131203924771398
3,3,406,0.183814933523536
3,3,407,0.237781543284655
3,3,408,0.29356973618269
3,3,409,0.351526588201523
3,3,410,0.411945655941963
3,3,411,0.475114174187183
3,3,412,0.541211515665054
3,3,413,0.610339045524597
3,3,414,0.682394750416279
3,3,415,0.757019847631454
3,3,416,0.833566509187222
3,3,417,0.911030486226082
3,3,418,0.988012321293354
3,3,419,1.06282882392406
3,3,420,1.13359016925097
3,3,421,1.19836853444576
3,3,422,1.25542825832963
3,3,423,1.30341275036335
3,3,424,1.34154771640897
3,3,425,1.36976570636034
3,3,426,1.38876554369926
3,3,427,1.39994041621685
3,3,428,1.40517076849937
3,3,429,1.40656842291355
3,3,430,1.40622840821743
3,3,431,1.40573740005493
3,3,432,1.40593918412924
3,3,433,1.40666975826025
3,3,434,1.40664220415056
3,3,435,1.4034860804677
3,3,436,1.39400958642364
3,3,437,1.37453261762857
3,3,438,1.34136299043894
3,3,439,1.29142634570599
3,3,440,1.22277429699898
3,3,441,1.13510648906231
3,3,442,1.03006179630756
3,3,443,0.911435782909393
3,3,444,0.784958317875862
3,3,445,0.657964274287224
3,3,446,0.538701400160789
3,3,447,0.435595721006393
3,3,448,0.356404483318329
3,3,449,0.307298250496387
3,3,450,0.292138516902924
3,3,451,0.311913557350636
3,4,401,0.862740978598595
3,4,402,0.901706710457802
3,4,403,0.914151422679424
3,4,404,0.895618289709091
3,4,405,0.844722494482994
3,4,406,0.763382520526648
3,4,407,0.656700327992439
3,4,408,0.532579683698714
3,4,409,0.400917222490534
3,4,410,0.272708650678396
3,4,411,0.15894303098321
3,4,412,0.0695255026221275
3,4,413,0.0122746080160141
3,4,414,-0.00783455371856689
3,4,415,0.0108520090579987
3,4,416,0.0665574632585049
3,4,417,0.154259527858812
3,4,418,0.266295172274113
3,4,419,0.393171034753323
3,4,420,0.524602115154266
3,4,421,0.650590880773962
3,4,422,0.762437764555216
3,4,423,0.853627063333988
3,4,424,0.920416213572025
3,4,425,0.962140075862408
3,4,426,0.98113577067852
3,4,427,0.982382774353027
3,4,428,0.972872037440538
3,4,429,0.96074140816927
3,4,430,0.95436904206872
3,4,431,0.961482409387827
3,4,432,0.988386483862996
3,4,433,1.03933668881655
3,4,434,1.11624314635992
3,4,435,1.21863333880901
3,4,436,1.34385004639626
3,4,437,1.48757067322731
3,4,438,1.64430350065231
3,4,439,1.80806711316109
3,4,440,1.97304192185402
3,4,441,2.13415077328682
3,4,442,2.28740441799164
3,4,443,2.4300462603569
3,4,444,2.56058377027512
3,4,445,2.67862516641617
3,4,446,2.78453803062439
3,4,447,2.87907898426056
3,4,448,2.96300935745239
3,4,449,3.03680431842804
3,4,450,3.10041290521622
3,4,451,3.15320831537247
4,1,401,3.90533798933029
4,1,402,3.93495452404022
4,1,403,3.97881025075912
4,1,404,4.0374119579792
4,1,405,4.11013254523277
4,1,406,4.19515755772591
4,1,407,4.28955459594727
4,1,408,4.38953018188477
4,1,409,4.49079743027687
4,1,410,4.58904710412025
4,1,411,4.68044677376747
4,1,412,4.7620889544487
4,1,413,4.8323655128479
4,1,414,4.89114731550217
4,1,415,4.93981468677521
4,1,416,4.98104137182236
4,1,417,5.01843160390854
4,1,418,5.05598080158234
4,1,419,5.09747815132141
4,1,420,5.1458877325058
4,1,421,5.20284476876259
4,1,422,5.26826679706573
4,1,423,5.34020081162453
4,1,424,5.4148855805397
4,1,425,5.48708891868591
4,1,426,5.55061930418015
4,1,427,5.59901183843613
